Planta; descripcion;CORRELATIVO;FACTURA FISICA;Descripción/Item;Proveedor/Vendor;Factura n°;Planta;Ubicación;Ubicación en Planta;Fecha de compra;Fecha Adj. Concesión;Fecha termino Concesion;Fecha comienzo op;Vida util s/ Concesion;Vida útil tributaria (meses);Valor de Origen
AB1307;Maquinaria y equipos;40;SI;BANCO DE PRUEBAS LV XG (LIVIANOS);ACTIA MULLER;3840089757-0;MELIPILLA;OPERATIVA;;02-02-2017;10-11-2015;10-11-2023;01-12-2018;78;60;15692318
AB1307;Maquinaria y equipos;40;SI;BANCO DE PRUEBAS LV XG (LIVIANOS);ACTIA MULLER;3840089757-0;MELIPILLA;OPERATIVA;;02-02-2017;10-11-2015;10-11-2023;01-12-2018;78;60;15692318
AB1307;Maquinaria y equipos;49;SI;TOS-000. ALMACENAJE CTR40 STD TCLU4716917/ 27 DIAS;TERMINAL PACIFICO SUR VAP S.A;62957;MELIPILLA;;;03-02-2017;10-11-2015;10-11-2023;01-12-2018;78;60;2001833
AB1307;Maquinaria y equipos;50;SI;TOS-000. ALMACENAJE CTR40 STD HLXU6351771/ 28 DIAS;TERMINAL PACIFICO SUR VAP S.A;62958;MELIPILLA;;;03-02-2017;10-11-2015;10-11-2023;01-12-2018;78;60;2074127
AB1307;Maquinaria y equipos;51;SI;TOS-000. ALMACENAJE CTR40 STD FSCU9138514/ 28 DIAS;TERMINAL PACIFICO SUR VAP S.A;62959;MELIPILLA;;;03-02-2017;10-11-2015;10-11-2023;01-12-2018;78;60;2074127
AB1307;Maquinaria y equipos;52;SI;GATE IN.EMBARQUE:31313975 HL-INV-NO:2022218490 CONTAIN;HAPAG-LLOYD CHILE SPA;215131;MELIPILLA;;;03-02-2017;10-11-2015;10-11-2023;01-12-2018;78;60;61000
AB1307;Maquinaria y equipos;52;SI;EDS. EMBARQUE: 31313975 HL-INV-NO: 2022218490 CONTAINER;HAPAG-LLOYD CHILE SPA;215131;MELIPILLA;;;03-02-2017;10-11-2015;10-11-2023;01-12-2018;78;60;62700
AB1307;Maquinaria y equipos;40;SI;BANCO DE PRUEBAS ACTIA HGV XG (PESADOS);ACTIA MULLER;3840089757-0;MELIPILLA;OPERATIVA;;17-02-2017;10-11-2015;10-11-2023;01-12-2018;78;60;34334624
AB1307;Maquinaria y equipos;40;SI;BANCO DE PRUEBAS ACTIA HGV XG (PESADOS);ACTIA MULLER;3840089757-0;MELIPILLA;OPERATIVA;;17-02-2017;10-11-2015;10-11-2023;01-12-2018;78;60;34334624
AB1307;Edificios;53;SI;ESTUDIO ANALISIS VIAL BASICO PRT RM;SERVICIOS DE INGENIERIA JORGE WASHINGTON LIMITADA;127;MELIPILLA;;;01-03-2017;10-11-2015;10-11-2023;01-12-2018;78;60;886932
AB1307;Edificios;54;SI;30% INICIAL TRABAJOS EN MELIPILLA SEGÚN  OC 20173171 DEL 16-03-2017;CONSTRUCTORA E INGENIERIA ELECTRICA ALCANTARA S.A;67;MELIPILLA;;;20-03-2017;10-11-2015;10-11-2023;01-12-2018;78;60;3441077
AB1307;Maquinaria y equipos;55;SI;TRASLADO E INSTALACION;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;5;MELIPILLA;;;03-04-2017;10-11-2015;10-11-2023;01-12-2018;78;60;100000
